031101  5o 5- 4o 3-  3o 3+ 3+ 4o   30o     26 1.2
031102  3+ 4- 3+ 3o  3- 3+ 4+ 3-   26+     18 1.0
031103  3+ 3o 3- 3-  2o 2+ 3- 3+   22o Q0A 13 0.7
031104  3o 3o 6+ 7o  3- 2o 3+ 3-   30o     38 1.4
031105  2- 0o 1+ 1o  1- 1+ 2+ 3+   12- Q4K  6 0.3
031106  3- 2- 1o 1-  2- 2+ 6- 4+   20o     17 0.9
031107  3+ 3- 2- 2+  1o 2- 1+ 1+   15+ Q7A  8 0.4
031108  1+ 1o 1- 2-  3- 3+ 2+ 2o   15o Q5A  8 0.4
031109  3- 3o 4- 4-  6- 4o 5o 3+   31o     29 1.3
031110  3+ 4o 4- 4-  4o 4- 5- 5-   32-     27 1.2
031111  6- 5+ 6o 6-  5+ 6- 5+ 5-   44- D2  61 1.7
031112  4+ 4- 4- 4o  4- 5o 5o 3o   32+     30 1.3
031113  4- 4o 5o 5+  6o 5o 6o 5+   40+ D3  52 1.6
031114  5+ 5o 5- 5-  5- 3+ 5- 4-   36o     38 1.4
031115  3o 4o 6o 5-  5o 5+ 4+ 4o   36+ D5  40 1.5
031116  4o 5- 5o 4o  5o 5+ 4+ 5o   37+ D4  41 1.5
031117  5- 5o 4+ 5-  5- 5+ 4+ 4o   37o     39 1.4
031118  5o 4- 3+ 4o  4o 4+ 3+ 3o   31-     26 1.2
031119  2+ 2+ 3o 2+  3o 3o 3o 1+   20+ Q8A 12 0.7
031120  1o 4- 6+ 6+  8- 9- 9- 8o   50+ D1 150 2.0
031121  7- 6o 6o 4-  2o 3o 3- 3-   33-     42 1.5
031122  4+ 3o 2+ 3-  3o 5- 6o 5-   31-     30 1.3
031123  4- 5o 4- 3-  3+ 2+ 4o 4-   28+     22 1.1
031124  3- 2o 2+ 2+  4o 3o 2+ 3o   22-     13 0.7
031125  3+ 3+ 3o 3-  3o 3+ 2+ 2+   23+     14 0.8
031126  2+ 2o 2- 1+  3- 2+ 2o 3-   17o Q6A  8 0.5
031127  2o 2+ 1+ 2-  1o 1- 2- 1+   12o Q2   6 0.3
031128  2- 2o 1o 2o  2+ 2- 0+ 0+   11+ Q1   5 0.2
031129  2+ 2o 2- 2-  1+ 1+ 1- 2o   13o Q3   6 0.3
031130  2o 3o 1o 1o  2+ 4- 4- 3o   20- Q9A 12 0.7
0311                                  Mean 28 1.02

0311 Q 28  27  29   5K  8A 26A  7A 19A 30A  3A
0311 D 20  11  13  16  15 
