040601  4- 3o 3+ 3o  4- 2+ 3- 3o   25- D3* 16 0.9
040602  3- 2o 2o 2o  2o 3- 3o 3o   19+     10 0.6
040603  2+ 3o 2o 1o  1+ 1o 1+ 3-   15-      8 0.4
040604  3- 2o 1o 2-  2+ 2o 1+ 2-   15-      7 0.4
040605  3- 2o 1+ 2+  2+ 2+ 3- 4-   19+     11 0.6
040606  3o 3+ 3- 2o  2+ 2- 3o 2o   20o     11 0.6
040607  3- 2- 1+ 1+  2- 1o 1+ 4-   15-      8 0.4
040608  3+ 2+ 1o 3-  2o 2+ 2+ 2-   18-      9 0.5
040609  3o 2- 2+ 3+  3o 3+ 3o 2+   22o D5* 13 0.8
040610  3+ 2+ 2- 1-  2o 1- 3+ 3-   17-     10 0.5
040611  3- 1o 2- 1+  1- 1o 1o 0+   10-      5 0.2
040612  0+ 2- 1+ 1o  1+ 0+ 0+ 0o    6+ Q6   3 0.1
040613  0o 1- 1o 1o  1- 1o 1o 2-    7o Q8   4 0.1
040614  1o 1o 2- 3o  3+ 3- 3- 2o   17+     10 0.5
040615  2+ 3- 4+ 3-  4+ 4- 3- 2+   25o D2* 18 1.0
040616  3- 2o 3o 1+  2- 1+ 1- 1+   14o      7 0.4
040617  1o 2+ 2- 2+  1+ 2o 2o 2o   15-      7 0.3
040618  1+ 2o 2- 2+  3+ 3- 2+ 2-   17+      9 0.5
040619  2- 2- 1+ 1+  2- 1+ 0+ 0o    9+ Q0   4 0.2
040620  1- 1- 1+ 1-  1- 1o 1o 1-    7- Q4   4 0.1
040621  1- 1o 1o 1-  1+ 1o 1o 1o    8- Q7   4 0.1
040622  0+ 1- 0+ 1-  0+ 0+ 1- 1-    4o Q1   2 0.0
040623  1- 0+ 1- 0+  1o 1o 1- 1-    5+ Q2   3 0.1
040624  0+ 1+ 2o 0+  2- 0+ 1- 0o    7- Q9   3 0.1
040625  0+ 1- 0+ 0+  2- 1- 1+ 1-    6o Q5   3 0.1
040626  1- 1o 1- 1+  4- 3o 2- 2o   14o      8 0.4
040627  1- 1- 0+ 1-  1- 1- 1- 2-    6o Q3   3 0.1
040628  3- 3+ 1+ 3-  2+ 2- 4o 4-   22- D4* 14 0.8
040629  4o 4o 4o 3o  3- 3- 4- 3-   27- D1* 19 1.0
040630  3- 2o 3- 2+  2o 1+ 2o 1+   16+      8 0.4
0406                                  Mean  8 0.41

0406 Q 22  23  27  20  25  12  21  13  24  19 
0406 D 29* 15*  1* 28*  9*
