070801  4- 3- 3+ 3o  3- 3- 3o 3o   24o D2* 15 0.9
070802  1o 1o 2o 1o  2o 2o 1+ 0+   11-      5 0.2
070803  1o 1+ 1o 0+  1+ 1o 0+ 1o    7+ Q0   4 0.1
070804  0+ 0+ 0+ 0+  0+ 0o 0o 1-    2+ Q2   2 0.0
070805  0o 0o 0o 0+  0+ 0+ 1o 1o    3o Q4   2 0.0
070806  1- 0+ 2- 2-  2- 3- 4o 6-   18+ D4* 16 0.9
070807  5o 3+ 4o 2+  3o 3+ 4- 3+   28o D1  22 1.1
070808  2o 3- 2o 1-  1o 1- 1- 1o   11-      5 0.2
070809  1o 0+ 1o 1+  0+ 1- 1o 1-    6+ Q8   3 0.1
070810  0+ 0+ 1+ 2+  4+ 4+ 4- 3o   20- D3* 15 0.8
070811  2+ 2o 2+ 2-  2o 2+ 3+ 2+   18+      9 0.5
070812  2- 1+ 1+ 2o  1o 1o 1- 0+    9+      4 0.2
070813  1o 1- 0o 0+  0+ 0+ 0+ 1-    4- Q5   2 0.0
070814  1o 0+ 1- 0+  1- 1- 1- 2+    7-      4 0.1
070815  3- 3- 1+ 1+  2o 2+ 2o 2-   16o      8 0.4
070816  2o 1o 2- 2o  1- 1- 1+ 1-   10o      5 0.2
070817  2o 1- 0o 0+  1- 1- 1o 1+    7-      3 0.1
070818  2- 0+ 0o 0+  0o 0o 1- 0+    3+ Q7   2 0.0
070819  0o 0o 0+ 1o  3- 2- 0+ 0+    6+      4 0.1
070820  1- 0+ 0+ 0+  0+ 0+ 1- 1o    4o Q6   2 0.0
070821  2o 1- 0+ 1o  1+ 1o 0+ 1-    7+      4 0.1
070822  0o 0+ 0+ 1o  2- 1+ 1o 0o    6- Q9   3 0.1
070823  0o 0+ 0+ 1-  1- 0o 0+ 0o    2+ Q3   2 0.0
070824  0o 1- 0+ 0+  0o 0+ 0+ 0o    2o Q1   1 0.0
070825  2+ 1- 1- 2o  3o 2- 2+ 1+   14o      7 0.4
070826  2- 1+ 2- 1+  3- 3- 4o 3o   18+     11 0.6
070827  3o 2+ 4- 2o  2o 2o 4o 3o   22o D5* 14 0.8
070828  3o 2+ 2o 4-  2o 1o 2o 2-   18-     10 0.5
070829  2o 1- 1- 0+  1o 1o 2- 2-    9o      4 0.2
070830  2- 2o 1o 1-  1- 0+ 1- 1+    8+      4 0.1
070831  2- 1o 1o 1+  1- 1+ 3- 2+   12o      6 0.3
0708                                  Mean  6 0.29

0708 Q 24   4  23   5  13  20  18   9  22   3 
0708 D  7   1* 10*  6* 27*
