080201  3+ 2+ 3+ 3-  2- 3+ 4+ 4+   25+ D5* 18 1.0
080202  4+ 5- 3o 2o  3+ 2+ 3+ 3o   26o D4* 19 1.0
080203  3o 3o 3+ 3+  2+ 3+ 4- 3+   25+     17 0.9
080204  3- 3- 2o 2o  1o 1+ 2+ 2o   16o      8 0.4
080205  2o 2o 0o 0+  1o 1+ 1+ 0+    8+ Q6   4 0.1
080206  0o 0+ 1- 0+  1o 1+ 2+ 2o    8o Q7   4 0.1
080207  3o 2+ 0o 0o  0+ 2+ 1+ 3o   12+      7 0.3
080208  3+ 1+ 1+ 1-  1- 1o 2o 2+   13-      7 0.3
080209  1o 0+ 0o 1-  2o 1o 2- 2-    8+ Q5   4 0.1
080210  0+ 3- 3o 4-  4+ 5- 3+ 4o   26o D3  21 1.1
080211  3+ 4o 3- 4-  3+ 3+ 2+ 3-   25+     17 0.9
080212  3- 3o 3- 3-  3o 3- 3- 3-   22o     13 0.7
080213  3- 3- 4- 2o  4- 3+ 2+ 2-   22o     14 0.8
080214  2+ 2o 2+ 2o  3o 1+ 4+ 4-   21o     13 0.8
080215  2o 3o 3o 3+  3+ 3o 2o 2o   22-     13 0.7
080216  3o 3+ 2+ 2o  3- 1o 3- 0o   17o     10 0.5
080217  0+ 2o 2o 2o  2- 1- 1o 1+   11o Q9   5 0.2
080218  1- 1o 2o 3o  4- 3+ 3o 3+   20o     13 0.7
080219  3+ 3o 4- 3-  3- 3- 3- 1+   22o     14 0.8
080220  1+ 3o 2o 1+  1+ 1+ 0+ 1o   12-      6 0.3
080221  1- 1- 1+ 2-  2+ 2+ 2- 1-   11+ Q0   6 0.2
080222  1- 1o 2- 1o  1o 1- 0+ 1o    7+ Q3   4 0.1
080223  0+ 1- 1o 1-  1o 2o 2+ 2o   10o Q8   5 0.2
080224  1o 1- 1- 1-  1- 1o 1o 1+    7o Q1   4 0.1
080225  1+ 1+ 1o 1+  0+ 1- 0+ 0+    7- Q2   4 0.1
080226  0+ 2- 1- 1-  1o 1o 1+ 1+    8o Q4   4 0.1
080227  2o 2o 1o 1o  2- 3- 4+ 3-   17+     10 0.6
080228  4- 3+ 3- 3+  3o 4+ 4+ 4+   29o D2  23 1.1
080229  4+ 3+ 4o 4-  3o 5+ 4+ 5o   33o D1  31 1.3
0802                                  Mean 11 0.53

0802 Q 24  25  22  26   9   5   6  23  17  21 
0802 D 29  28  10   2*  1*
