100701  2o 3- 2o 2o  2o 3o 3+ 2o   19o D3* 10 0.6
100702  3- 2o 2+ 2-  2- 1+ 2- 3-   16o      8 0.4
100703  2- 2+ 0o 2-  2- 2o 1+ 2o   13-      6 0.3
100704  2- 1- 1o 1+  1o 1o 1o 1-    8+      4 0.1
100705  0+ 1- 1o 1o  1- 0+ 1- 1-    5+ Q9   3 0.1
100706  1+ 1- 1- 0+  0o 0+ 0+ 0o    4- Q6   2 0.0
100707  0o 0+ 0o 0+  1- 1- 0+ 1-    3o Q4   2 0.0
100708  0o 0o 0+ 0+  0+ 0+ 1+ 1+    4o Q8   2 0.0
100709  2o 2- 1+ 1o  1o 1- 1- 1-    9o      4 0.2
100710  0o 0+ 0+ 0o  0+ 0+ 0+ 0o    2- Q1   1 0.0
100711  0o 1- 0+ 0+  2- 2- 1- 2o    7+      4 0.1
100712  1+ 0+ 0+ 0+  1o 0+ 1o 2-    6+      3 0.1
100713  1- 1- 0+ 0o  0+ 0+ 0+ 1-    3+ Q5   2 0.0
100714  1- 1+ 1o 2o  2- 2- 2+ 4+   15o D4*  9 0.5
100715  4o 2+ 1+ 2-  2- 2o 1- 1o   15- D5*  8 0.5
100716  0o 0+ 1o 1o  2o 0+ 0+ 0+    5+ Q0   3 0.1
100717  0o 0+ 0+ 0+  0+ 0+ 0o 0+    2o Q2   2 0.0
100718  0o 0o 0+ 1-  0+ 1- 0+ 0+    3- Q3   2 0.0
100719  0+ 0+ 0+ 1-  1- 1+ 1- 1-    5o Q7   3 0.1
100720  1o 1- 2- 1o  2- 1o 1+ 1o    9+      4 0.2
100721  1o 2- 0+ 1-  1+ 1+ 2- 1-    9-      4 0.1
100722  1- 1o 1o 1o  1+ 1o 1- 1o    8-      4 0.1
100723  1+ 2o 2- 2-  1o 2o 3- 2+   15-      7 0.4
100724  2- 1o 1- 0+  1- 1+ 1o 2o    9-      4 0.1
100725  2+ 1+ 1o 1o  1+ 1+ 1+ 2-   11+      5 0.2
100726  2o 2- 1+ 1o  1- 1- 1+ 2o   11-      5 0.2
100727  3- 3+ 4- 4-  3- 3+ 4o 3+   27- D1* 19 1.0
100728  4o 2- 2+ 3-  3- 2o 2+ 2+   20o D2* 11 0.7
100729  2- 2o 2o 2-  2o 1o 1+ 1+   13o      6 0.3
100730  2- 1o 1- 1+  2- 2+ 2o 2+   13o      6 0.3
100731  2o 1- 0+ 1+  2+ 2+ 1o 1-   11-      5 0.2
1007                                  Mean  5 0.22

1007 Q 10  17  18   7  13   6  19   8   5  16 
1007 D 27* 28*  1* 14* 15*
