110501  4- 3o 3o 3-  4o 4- 2+ 3-   25o D4* 17 0.9
110502  3+ 4o 4+ 3o  3o 3+ 3+ 3o   27+ D3  20 1.0
110503  3+ 4- 2+ 3o  3- 2+ 3- 2o   22o     13 0.7
110504  2+ 1- 1+ 2-  1o 1+ 1- 1-   10-      5 0.2
110505  2+ 3o 2- 1-  2- 1o 2+ 1o   14-      7 0.4
110506  0+ 0+ 1- 1o  1- 0+ 1- 2-    6- Q7   3 0.1
110507  1- 0+ 1- 1-  2o 2o 2o 2-   10o      5 0.2
110508  1o 0+ 0o 0+  0+ 0o 0+ 1o    3+ Q2   2 0.0
110509  1+ 0+ 0o 0+  1- 1+ 0+ 0o    4+ Q5   2 0.0
110510  1o 1- 2+ 2+  3+ 3+ 3- 3-   18+     11 0.6
110511  2o 3- 1o 1-  1o 1- 1o 0+    9+      5 0.2
110512  1+ 0+ 1- 0+  0o 0+ 0+ 0+    4- Q3   2 0.0
110513  1- 1- 1- 1o  1o 1o 1- 1-    6+ Q6   3 0.1
110514  1+ 1+ 0o 0+  0+ 1o 1- 2-    7- Q9   3 0.1
110515  2o 2- 1+ 2+  3- 4- 2o 3-   18+     10 0.6
110516  2+ 2- 3+ 4-  4- 2o 2+ 2+   21+     13 0.7
110517  1+ 2- 3- 3o  2o 2o 2+ 2+   17+      9 0.5
110518  2o 2- 1o 1o  2- 2o 1- 1-   11-      5 0.2
110519  1o 0+ 1+ 1+  1o 1- 0+ 0+    6+ Q8   3 0.1
110520  1- 1- 0+ 0+  1- 0+ 0+ 0o    3+ Q1   2 0.0
110521  0o 1- 1o 1-  1o 1o 2o 2o    8+      4 0.1
110522  2o 2+ 1- 0+  1o 1o 1- 0+    8+      4 0.1
110523  0+ 1- 0+ 1-  2- 1- 1+ 2-    7+ Q0   4 0.1
110524  2+ 1+ 1- 1+  2o 2- 1o 1+   12-      6 0.2
110525  1o 1o 0+ 0+  1- 0+ 0+ 1o    5o Q4   3 0.1
110526  2- 1+ 1o 1-  2+ 2+ 1+ 2-   12+      6 0.3
110527  1o 2- 2- 2-  3- 3o 3+ 3+   18+     11 0.6
110528  5- 3- 6+ 6o  6+ 2o 1+ 4o   33+ D1  45 1.5
110529  4o 5+ 5- 4o  4- 5+ 4+ 3o   34+ D2  34 1.4
110530  3- 2- 2o 2+  2o 2- 2+ 2+   17o      8 0.4
110531  3o 2+ 3- 2+  2o 3- 3+ 4-   22o D5* 13 0.7
1105                                  Mean  9 0.39

1105 Q 20   8  12  25   9  13   6  19  14  23 
1105 D 28  29   2   1* 31*
