110701  2o 3+ 4- 2+  3+ 4- 2o 1o   21+ D4* 13 0.8
110702  0o 0+ 0+ 1o  1o 1+ 2o 3-    9- Q8   4 0.2
110703  3- 3o 1o 1o  1+ 1o 1+ 1-   12o      6 0.3
110704  1o 2- 1+ 1+  2o 2+ 4- 4o   17+     11 0.6
110705  3+ 4+ 2- 1+  1- 1o 3o 2o   17+     11 0.6
110706  2- 3- 3o 1+  1+ 2- 2- 2+   16-      8 0.4
110707  2+ 1o 1o 2-  2- 1+ 2o 2o   13o      6 0.3
110708  1- 1- 2o 2-  1o 2- 1o 3o   12-      6 0.3
110709  2+ 4o 1o 2o  1+ 2+ 2o 3o   18o     10 0.6
110710  3- 3+ 3- 1+  2+ 3- 1+ 2-   18o     10 0.6
110711  2+ 1+ 3o 4-  2o 3+ 2+ 3-   21- D5* 12 0.7
110712  3o 2o 1- 1+  2+ 2+ 3- 1-   15o      8 0.4
110713  2+ 2o 1o 1+  2o 1+ 2- 1+   13o      6 0.3
110714  2- 2o 2o 3-  2- 2- 1o 2-   14+      7 0.3
110715  1o 3- 1o 0+  1+ 1o 1- 1-    9- Q7   5 0.2
110716  1- 1- 1o 1+  1- 1o 1o 1-    7o Q3   4 0.1
110717  1o 1+ 0+ 1-  1- 1o 1+ 2-    8o Q5   4 0.1
110718  1- 2+ 2- 2+  1+ 1+ 1o 2-   12+ Q0   6 0.3
110719  1- 1- 2o 3+  3- 4o 4o 4-   21o D3* 15 0.8
110720  3o 3+ 3o 4o  3+ 3- 4- 3+   26+ D1* 18 1.0
110721  4- 3- 3- 2o  3- 2+ 2o 3-   21-     12 0.7
110722  3- 3o 3o 2o  2o 2+ 2+ 2o   19+     10 0.6
110723  2+ 3- 2- 2-  1o 1o 2- 2-   14-      7 0.3
110724  1- 1- 1- 1o  0+ 1+ 1+ 1+    7+ Q4   4 0.1
110725  2- 2+ 2+ 3-  4- 2o 2+ 2+   19+     10 0.6
110726  3- 2- 2- 1o  1+ 0+ 2- 1o   11+ Q9   6 0.3
110727  1- 1+ 0+ 0+  0o 1o 0+ 1-    5- Q1   3 0.0
110728  1- 1+ 0+ 0+  0+ 0+ 1- 1+    5+ Q2   3 0.1
110729  0+ 0+ 0+ 1-  2- 2+ 1+ 0+    7+ Q6   4 0.1
110730  1o 1- 1o 2+  3- 4- 5o 4o   20+ D2* 16 0.9
110731  3o 2o 2+ 2-  1+ 2o 2+ 3-   17+      9 0.5
1107                                  Mean  8 0.42

1107 Q 27  28  16  24  17  29  15   2  26  18 
1107 D 20* 30* 19*  1* 11*
