111001  5- 4o 2+ 2o  2+ 2+ 3- 3o   23+ D2* 16 0.9
111002  2- 3- 4- 2+  3- 3+ 2+ 3o   22- D5* 13 0.7
111003  0o 0+ 1o 1+  2o 2o 1+ 1o    9o      4 0.1
111004  1+ 0o 2+ 2-  2- 2- 1o 1+   11o      5 0.2
111005  2- 2o 3- 4-  4- 4+ 3o 2+   23+ D4* 16 0.9
111006  1+ 3- 1+ 2-  2+ 2o 2- 1+   14+      7 0.3
111007  1+ 2o 2- 2-  0+ 1- 1- 1o    9+      4 0.2
111008  1- 1+ 1+ 1-  1o 2o 3o 4-   14-      8 0.4
111009  3+ 3o 3o 2-  2- 2- 1+ 3-   18+     10 0.6
111010  1o 2- 0+ 0o  0+ 1- 0+ 0+    5- Q6   3 0.0
111011  0o 0o 1+ 0o  2- 2- 1+ 0+    6+ Q9   3 0.1
111012  1- 2+ 2o 1-  1- 1o 2o 1+   11-      5 0.2
111013  1- 2+ 1- 1-  1o 0+ 0+ 0o    6o Q7   3 0.1
111014  0o 0o 0+ 0+  1- 0+ 1- 0+    3- Q4   2 0.0
111015  3+ 2+ 0+ 1+  2o 3- 1- 1o   14-      8 0.4
111016  2+ 3- 1+ 1o  3- 1o 1o 2o   14o      7 0.4
111017  3- 1- 1- 0+  0o 1o 0+ 2-    7+      4 0.1
111018  1+ 2- 1+ 0+  1- 1+ 1o 0+    8o Q0   4 0.1
111019  2o 2+ 1- 2o  2o 1- 1- 1o   11+      5 0.2
111020  2o 1+ 1- 1-  1- 1o 2+ 0+    9o      4 0.2
111021  2+ 2o 1+ 0o  0+ 0+ 1- 1-    8-      4 0.1
111022  1- 0+ 0+ 0+  1- 0o 0o 0o    2+ Q3   2 0.0
111023  0o 0o 0+ 1-  1- 1- 1- 1o    4o Q5   2 0.0
111024  2- 0+ 2- 1-  0+ 1o 5+ 7o   18o D3  26 1.2
111025  7+ 6- 5- 3o  3o 2o 1+ 1-   28- D1  38 1.4
111026  1- 1+ 1- 1-  1o 1+ 1- 1+    8- Q8   4 0.1
111027  0+ 2o 2- 1+  1+ 1- 0+ 1-    8+      4 0.1
111028  0o 0o 0o 0+  0o 0o 0o 0o    0+ Q1   0 0.0
111029  0o 0o 0o 0o  0o 0o 0+ 0o    0+ Q2   0 0.0
111030  1o 0+ 0+ 2-  2+ 3o 1- 2o   11+      6 0.3
111031  4- 1o 1+ 2o  1+ 2- 3o 3o   17o     10 0.6
1110                                  Mean  7 0.32

1110 Q 28  29  22  14  23  10  13  26  11  18 
1110 D 25   1* 24   5*  2*
