111101  4- 2+ 3o 5-  4- 4o 2+ 3-   26+ D1* 19 1.0
111102  3- 3- 3- 3-  2+ 2- 1o 1-   16+ D4*  9 0.5
111103  2- 1+ 1- 0+  0o 1- 1o 0+    6o Q9   3 0.1
111104  0+ 0o 0+ 1o  2- 1- 1o 1+    6+      3 0.1
111105  2- 1+ 1- 1-  1- 0o 1- 0+    6o Q8   3 0.1
111106  0o 0o 0o 1-  1o 2- 0+ 2-    5+      3 0.0
111107  0o 2- 1o 1-  1- 2o 1+ 1o    8+      4 0.1
111108  2+ 2+ 2+ 2-  2+ 2+ 1o 0o   14+      7 0.3
111109  0o 0o 0+ 0+  1- 1- 0o 0o    2o Q3   1 0.0
111110  0+ 0o 0o 0+  1- 1+ 2- 1o    5+ Q7   3 0.0
111111  1- 2- 1- 2-  1- 0+ 0+ 0o    6o      3 0.1
111112  0o 0o 1+ 1+  1o 2o 0+ 0o    6o      3 0.1
111113  0o 0o 1- 1o  0+ 0+ 0+ 0+    3o Q5   2 0.0
111114  0o 0+ 0o 0+  0+ 0+ 0o 0o    1+ Q2   1 0.0
111115  0o 1+ 2+ 2+  2o 2- 0+ 2-   12-      6 0.2
111116  2- 2- 0+ 0+  1- 0+ 1- 0+    6o Q0   3 0.1
111117  1o 1o 2- 1-  1- 0+ 1+ 1-    7+      4 0.1
111118  1- 1- 0+ 0o  1+ 1- 0+ 1-    5- Q6   3 0.0
111119  0+ 0o 0o 0o  0o 0o 0o 0o    0+ Q1   0 0.0
111120  0o 0o 0o 0o  0o 1- 1- 1-    2o Q4   1 0.0
111121  0+ 0+ 1o 1-  1- 2- 1+ 3o    9o      5 0.2
111122  2o 1o 1+ 2o  2+ 3- 1- 2-   14-      7 0.3
111123  2+ 3- 2- 1+  1o 1o 1+ 2o   13+      6 0.3
111124  2o 1- 0+ 2-  3o 2- 2o 3-   14o D5*  7 0.4
111125  2+ 2o 1+ 0+  0+ 0+ 0+ 2-    9-      4 0.2
111126  1- 0o 1o 1o  1o 1- 1o 2-    7o      4 0.1
111127  1o 2- 2o 2o  2- 2+ 1+ 1-   13-      6 0.3
111128  0+ 0o 0+ 0o  0+ 0o 0+ 4o    5+      4 0.2
111129  4o 3+ 3- 2o  1+ 2- 3+ 1+   20- D2* 12 0.7
111130  3o 1o 0+ 3+  3+ 3- 3o 2+   19o D3* 12 0.7
1111                                  Mean  5 0.21

1111 Q 19  14   9  20  13  18  10   5   3  16 
1111 D  1* 29* 30*  2* 24*
