130901  3+ 2o 2+ 1+  3- 2o 2+ 2+   18+ D3* 10 0.5
130902  1+ 3+ 3+ 2o  3- 2- 1+ 1-   16+ D5*  9 0.5
130903  1+ 0+ 1o 2-  2o 1o 2- 3+   12+      6 0.3
130904  2o 1- 1o 2-  1+ 1- 2- 1+   10+      5 0.2
130905  0o 0o 0o 2-  1- 1- 1o 1-    5- Q9   2 0.0
130906  1+ 1+ 1- 1o  1o 1- 2o 2-   10-      5 0.2
130907  0+ 1o 1o 1-  1- 0+ 0+ 1-    5o Q6   3 0.1
130908  2- 3o 1+ 1o  2- 1+ 1- 0o   11-      6 0.2
130909  0o 1o 1+ 1o  0+ 0+ 1- 0+    5o Q8   3 0.0
130910  0o 0o 0o 2+  2+ 3- 3- 2+   12+      6 0.3
130911  2- 0+ 1- 2-  2- 1o 2- 2-   10+      5 0.2
130912  2+ 0+ 1+ 1+  1o 1+ 2o 3-   12+      6 0.3
130913  3o 2- 2o 1+  2o 4- 2+ 1o   17o D4*  9 0.5
130914  2- 2- 2+ 1+  1+ 0+ 1o 1-   10+      5 0.2
130915  1+ 0o 0o 0o  0o 1- 1- 1o    4- Q4   2 0.0
130916  2- 1- 1+ 1o  1- 1- 0+ 1o    7+ Q0   4 0.1
130917  2- 2+ 2+ 1-  2- 2- 3o 2o   15+      8 0.4
130918  2+ 2+ 0+ 1+  2o 3- 2+ 3-   16o      8 0.4
130919  3- 3o 4o 4-  2- 2- 3- 2-   21o D1* 13 0.8
130920  2- 2+ 2- 1+  2o 0+ 1- 2o   12o      6 0.3
130921  1+ 2o 2- 3-  2o 2+ 2o 2-   16-      7 0.4
130922  2+ 2o 2o 1-  1+ 1- 0+ 1-   10o      5 0.2
130923  1- 2o 1+ 0+  1- 1- 2- 1+    9-      4 0.1
130924  2- 1o 1- 4-  4+ 3+ 1o 1+   17o D2* 12 0.7
130925  3- 2- 2- 0+  0+ 0o 0o 1-    7+      4 0.1
130926  0o 0o 0o 0+  0+ 0o 0+ 0o    1o Q2   1 0.0
130927  0o 0o 0o 0o  0+ 0o 1- 0+    1+ Q3   1 0.0
130928  0o 0o 0o 0o  0o 0o 0+ 0o    0+ Q1   0 0.0
130929  0o 0o 0o 0o  0o 0o 1o 2-    3- Q5   1 0.0
130930  2- 1o 0+ 0o  0o 0o 0o 0+    3+ Q7   2 0.0
1309                                  Mean  5 0.23

1309 Q 28  26  27  15  29   7  30   9   5  16 
1309 D 19* 24*  1* 13*  2*
