131201  4- 3+ 3- 1+  3- 1o 0o 1-   15+ D3* 10 0.5
131202  0+ 0o 0o 0o  0+ 0+ 0o 0o    1o Q1   1 0.0
131203  1+ 2o 1+ 2o  2+ 2o 3- 2-   15+ D4*  7 0.4
131204  2+ 1+ 1- 0o  0o 1- 2- 1o    8-      4 0.1
131205  0+ 1+ 1- 2-  1+ 1- 1o 1-    8-      4 0.1
131206  1o 1+ 1o 0+  0+ 0+ 1- 1+    6+      3 0.1
131207  2o 1o 2- 0o  0+ 0+ 2o 3-   10o      5 0.2
131208  6o 6- 4- 2o  2o 3+ 3o 2-   27+ D1  28 1.2
131209  1- 0o 0o 0+  1+ 2o 1+ 1+    7o      3 0.1
131210  1o 3- 1o 1o  1o 0+ 0+ 0o    7+      4 0.1
131211  1- 1- 1- 1o  1o 0+ 0+ 1o    6- Q0   3 0.1
131212  0+ 0+ 0o 0o  0o 0o 0o 0+    1o Q2   1 0.0
131213  0+ 0+ 0o 0+  2o 2- 1- 1-    6o      3 0.1
131214  3+ 4o 2o 1+  1+ 3+ 4o 2+   22- D2* 14 0.8
131215  2o 1o 1o 1o  1o 3- 1o 1o   11-      5 0.2
131216  2+ 3- 2- 1-  1o 1- 1+ 1+   12-      6 0.3
131217  2- 1- 0o 0o  0o 1o 2+ 1-    6+      3 0.1
131218  1- 1o 1+ 1-  0o 1- 0+ 1+    6o      3 0.1
131219  1+ 1+ 0+ 0o  1- 2+ 2o 2-   10-      5 0.2
131220  2+ 2+ 0o 1-  1- 1+ 2- 1o   10o      5 0.2
131221  1o 2- 0+ 1-  0+ 0o 1- 0+    5o      3 0.0
131222  0o 0+ 0o 1-  0o 0o 0o 0o    1o Q3   1 0.0
131223  1- 0+ 0+ 0o  0+ 0+ 0+ 1-    3o Q6   2 0.0
131224  0o 0o 0o 0o  0o 1- 0+ 2-    3- Q9   1 0.0
131225  2o 1o 2- 1+  3o 2o 1+ 0+   13- D5*  6 0.3
131226  0+ 0+ 0+ 0+  1- 0+ 0+ 0o    3- Q4   2 0.0
131227  0o 0o 0o 0o  0o 0o 1o 0+    1+ Q5   1 0.0
131228  0o 0o 0o 0o  1- 1- 1o 1o    3+ Q8   2 0.0
131229  2- 1- 1- 2-  1- 1o 1o 0o    7+      4 0.1
131230  0o 0o 1o 1-  1- 1- 0o 0+    3+ Q7   2 0.0
131231  1+ 2- 2o 1+  1+ 1o 1o 1-   10+      5 0.2
1312                                  Mean  5 0.18

1312 Q  2  12  22  26  27  23  30  28  24  11 
1312 D  8  14*  1*  3* 25*
