140101  1- 1+ 2o 2o  4- 3o 3o 3o   19- D2* 11 0.6
140102  3+ 4+ 3+ 2+  3- 3+ 4+ 2+   26o D1* 18 1.0
140103  2o 2- 2o 2o  3o 3- 3- 1o   17o D5*  9 0.5
140104  1- 1- 1o 2o  2+ 2o 2o 1+   12o      6 0.3
140105  0+ 1o 1+ 1-  1o 1- 0o 0+    5+ Q7   3 0.1
140106  0o 0+ 1o 0+  1- 1- 1+ 1+    6- Q8   3 0.1
140107  0+ 2- 0o 1-  1- 3+ 2+ 3-   12-      7 0.3
140108  3o 3+ 1o 1o  1- 1- 1o 1+   12o      7 0.4
140109  3o 3- 1+ 2-  1o 1o 3- 2-   15o      8 0.4
140110  2o 2- 1- 1-  1o 2- 1- 0+    9-      4 0.1
140111  0o 0o 0o 0+  1- 1- 2+ 2-    6-      3 0.1
140112  1o 1- 1o 1o  1+ 1o 3- 3+   12o      7 0.3
140113  2o 3o 2o 1o  1o 1- 0o 1o   11-      6 0.2
140114  3+ 3- 2- 1o  3+ 2+ 1+ 3-   18+ D3* 10 0.6
140115  2- 1- 1o 1-  0+ 1o 0+ 0+    6o Q0   3 0.1
140116  0o 0o 1o 1-  0+ 0+ 0o 0+    3- Q5   2 0.0
140117  0o 0o 0+ 0o  1o 1- 0+ 2-    4o Q6   2 0.0
140118  1- 0o 0o 0o  0+ 0o 1o 0o    2o Q3   1 0.0
140119  0o 0o 0o 0o  0+ 0+ 0o 0o    1- Q1   0 0.0
140120  0o 0o 1- 0+  0+ 1- 1- 0+    3o Q4   2 0.0
140121  3- 1o 2- 2-  2+ 3- 2o 2-   16-      8 0.4
140122  2o 2o 3- 3+  2+ 2- 2- 3-   18+ D4* 10 0.5
140123  2+ 2- 2o 1+  1- 1+ 2o 2-   13o      6 0.3
140124  3o 2- 0o 0+  1- 0+ 0o 0+    6+      4 0.1
140125  2+ 2- 1o 0+  1o 2- 2- 3o   13-      6 0.3
140126  3- 3- 2- 1o  0o 2- 1+ 1+   12+      6 0.3
140127  1- 1- 0+ 0+  1- 1o 1- 2-    6o Q9   3 0.1
140128  0o 0o 1- 1-  1- 2- 2o 2+    8o      4 0.1
140129  2o 2o 2o 2-  1o 2o 1+ 1+   13+      6 0.3
140130  2o 2+ 1- 0+  0o 0o 0+ 0o    6-      3 0.1
140131  0o 0o 0o 1-  0+ 0o 0o 0+    1+ Q2   1 0.0
1401                                  Mean  5 0.25

1401 Q 19  31  18  20  16  17   5   6  27  15 
1401 D  2*  1* 14* 22*  3*
