160501  2+ 2o 2o 2+  3o 3+ 4o 4-   23- D5* 14 0.8
160502  5o 6- 2- 2+  3- 3+ 5- 5-   30o D3  30 1.3
160503  3+ 3+ 2+ 2-  1+ 2- 2- 2+   18-     10 0.5
160504  2- 1o 0o 1o  1o 1o 0+ 1-    7- Q5   3 0.1
160505  0o 1+ 2- 2o  2o 2+ 1o 2o   12+ Q0   6 0.3
160506  2+ 2- 2- 3-  3o 4- 4+ 3o   22+     15 0.8
160507  4- 1o 1+ 2o  2- 2o 1o 3o   16-      9 0.5
160508  6- 6+ 6o 5-  5+ 6- 6- 6+   46- D1  70 1.8
160509  6+ 4- 3- 3+  4- 3o 4o 4o   31- D2  30 1.3
160510  3o 4- 3o 2+  3+ 2+ 2o 2+   22o     13 0.7
160511  3- 2- 0+ 0+  0+ 1+ 1+ 2o   10o Q7   5 0.2
160512  1- 1o 1- 1o  1o 0o 1- 1o    6o Q3   3 0.1
160513  1o 1- 2- 1+  2o 2- 2+ 2o   13- Q9   6 0.3
160514  2+ 1+ 2o 2o  2o 1o 3- 3+   17-      9 0.5
160515  3o 3- 2o 1+  3+ 4- 4- 1o   21-     13 0.8
160516  2+ 3o 3- 3o  3+ 2+ 2+ 1+   20+     12 0.7
160517  2+ 2o 3+ 3-  3o 3- 3- 3o   22-     12 0.7
160518  2- 3- 2- 2+  2+ 1+ 1- 1o   14-      7 0.3
160519  1+ 1- 2+ 2-  2+ 3- 2o 1-   14-      7 0.3
160520  2+ 2+ 1+ 1o  1o 0+ 1- 2o   11o Q8   5 0.2
160521  2+ 3o 5- 2+  3- 3+ 3o 1o   22+ D4* 15 0.9
160522  2- 2+ 2o 3-  2+ 1o 1- 0o   13-      6 0.3
160523  0+ 1o 1+ 2-  1- 0o 1o 0+    6+ Q4   3 0.1
160524  1+ 1o 1o 2+  1+ 0+ 1- 1-    9- Q6   4 0.2
160525  0+ 1o 0+ 1o  1- 0+ 0+ 0o    4o Q1   2 0.0
160526  0o 0+ 0+ 0+  0+ 1- 1+ 1o    4+ Q2   2 0.0
160527  2+ 2+ 1o 2o  2o 2o 3o 3o   18-      9 0.5
160528  3o 2+ 4o 2+  2o 3+ 3- 2+   22o     13 0.8
160529  2- 1+ 1+ 2-  1o 1+ 2- 3o   13o      6 0.3
160530  4o 3- 3- 2+  1o 2o 1+ 2+   18+     11 0.6
160531  2- 1o 2+ 2-  1+ 2+ 3+ 4-   17+     10 0.6
1605                                  Mean 12 0.53

1605 Q 25  26  12  23   4  24  11  20  13   5 
1605 D  8   9   2  21*  1*
