940301  4o 2o 3+ 2+  2- 2o 2o 3+   21- Q8A 12 0.7
940302  4o 2+ 2o 3-  3- 2+ 4o 5o   25o     19 1.0
940303  4- 5- 5+ 4+  3o 2- 2o 2o   27-     23 1.1
940304  1o 1- 2- 2-  1- 1- 1- 1-    8- Q1   4 0.1
940305  2- 1- 1- 2-  1o 1- 2o 4+   13- Q5A  8 0.4
940306  3- 3+ 2+ 2o  1- 1+ 3- 4-   19- Q7A 11 0.6
940307  5+ 4o 4o 6-  5o 6+ 6- 7o   43o D2  65 1.7
940308  5o 6- 6- 5o  5- 5- 5+ 5+   41+ D3  52 1.6
940309  5- 5+ 6+ 5-  5- 6- 6+ 6o   44- D1  64 1.7
940310  4+ 4+ 5o 5-  5o 5o 5o 6-   39o D4  45 1.5
940311  4- 5- 5o 5-  5o 5- 4+ 5+   37+     40 1.5
940312  5- 4o 5+ 4+  5- 4o 5- 4+   36o     36 1.4
940313  5- 5o 3- 4-  3o 3o 3o 5o   30o     27 1.2
940314  4+ 5o 4o 3+  5- 5- 5- 4+   35o     34 1.4
940315  5o 6- 4+ 5-  5+ 5+ 5- 4-   39- D5  45 1.5
940316  4o 4- 4- 2+  4- 5o 4- 4-   30-     24 1.2
940317  4o 5o 5+ 5-  4o 5- 4+ 3+   35+     36 1.4
940318  4o 5- 4- 2o  3+ 3o 2- 4o   26+     20 1.0
940319  4+ 3+ 3+ 3+  2o 2o 2+ 3-   23+     15 0.9
940320  3+ 3o 2o 2-  2- 3o 4- 3o   21+ Q0A 13 0.7
940321  3o 5o 4- 3+  4- 5o 4+ 3+   31+     28 1.2
940322  5o 3+ 2o 3o  5- 3- 2+ 3o   26o     20 1.0
940323  4- 5- 4- 3o  4- 4- 3o 2+   28-     21 1.1
940324  3+ 3+ 2+ 5-  4- 3- 2o 3o   25o     18 1.0
940325  4o 2o 2o 2+  3+ 4+ 4- 3o   25-     17 0.9
940326  3o 3- 2o 3+  1+ 2- 2- 1o   17- Q4A  9 0.5
940327  2- 1+ 2- 1+  2o 1+ 3- 4+   16+ Q6A 10 0.5
940328  1+ 3- 2o 3-  3+ 4- 3- 3-   21o Q9A 12 0.7
940329  2+ 2- 2o 1+  1o 1- 1+ 2-   12o Q2   6 0.3
940330  1+ 1o 1+ 3+  4- 4- 4- 3+   21+     14 0.8
940331  3- 2+ 1+ 2o  2- 1- 1- 0+   12- Q3   6 0.3
9403                                  Mean 24 1.00
