950701  5o 3o 3- 2o  2- 1+ 2- 2o   19+ D4* 13 0.8
950702  2+ 1- 1- 1o  1o 1+ 2+ 1+   11- Q0   5 0.2
950703  3- 2- 1+ 2+  2+ 1o 2- 3+   16+      9 0.5
950704  3- 2+ 1+ 1-  2o 2+ 1+ 1o   14-      7 0.3
950705  1o 1- 1- 1o  1o 1- 1- 1-    6+ Q4   3 0.1
950706  1- 0+ 0+ 1-  0+ 1- 1- 1o    5- Q3   3 0.0
950707  1+ 2+ 1- 1-  1+ 1o 1o 0+    9- Q6   4 0.2
950708  1- 1o 1+ 1+  2+ 1+ 1o 0+    9+ Q8   5 0.2
950709  0+ 1- 1- 1+  3- 2+ 2- 1-   10+      5 0.2
950710  0+ 0+ 1- 0+  1- 1- 1- 0+    4o Q1   2 0.0
950711  0+ 0+ 0+ 0o  0+ 0+ 1o 1o    4- Q2   2 0.0
950712  1o 0+ 0o 0+  1o 1+ 1o 2-    7- Q5   3 0.1
950713  2- 2o 2- 1+  1o 1+ 1+ 0+   11- Q9   5 0.2
950714  1- 0+ 1- 1+  1o 2+ 3- 2+   11+      6 0.3
950715  2- 2- 2- 2-  2- 1+ 2- 2-   13o      6 0.3
950716  1+ 1- 2- 2-  5+ 6o 4+ 5+   26+ D1  30 1.3
950717  5- 4o 3+ 3o  4o 4+ 2+ 3+   29o D3  23 1.1
950718  3+ 2o 2o 2+  3+ 2- 3- 2-   19o D5* 10 0.6
950719  2- 2+ 3- 2o  1+ 1o 2+ 4-   17o      9 0.5
950720  3o 2+ 2- 4-  2o 2- 1o 1o   16+      9 0.5
950721  1- 1- 1+ 2-  2- 2- 1+ 1o   10o Q7   5 0.2
950722  1- 2- 1o 1o  2o 2o 2o 1+   12-      5 0.2
950723  3- 1+ 1- 1-  2o 2+ 2+ 2-   14-      7 0.3
950724  3o 4- 5+ 4-  4- 2+ 4+ 4o   30o D2  26 1.2
950725  4o 3- 1+ 1+  1- 1o 1- 1o   13-      8 0.4
950726  2- 2- 1+ 1o  2- 1+ 1+ 2-   12-      5 0.2
950727  1+ 2o 1+ 1-  1- 1- 2+ 2o   11o      5 0.2
950728  2o 1o 1- 1o  1o 1o 2o 3-   11+      6 0.3
950729  3- 2o 0+ 1-  1o 2o 1o 1+   11o      6 0.2
950730  2- 0o 0+ 2o  1+ 2- 2- 3o   12-      6 0.3
950731  2- 2- 1+ 0+  1- 2- 1+ 3-   11+      6 0.3
9507                                  Mean  8 0.36
