951201  2o 3- 1o 2o  4- 4+ 4o 5-   24+ D4* 19 1.0
951202  4o 2o 2+ 2+  3+ 2- 2o 2o   20-     11 0.6
951203  1o 1- 1+ 2o  2- 2o 3+ 3-   15-      8 0.4
951204  4+ 5- 3+ 3+  1+ 2o 1o 2o   22o D5* 16 0.9
951205  2- 1- 0+ 1-  0+ 1- 2- 2+    8+      4 0.1
951206  0o 1- 1- 1o  1o 2- 2- 2o    9- Q0   4 0.1
951207  1o 1o 1- 1-  2- 2- 0+ 0+    7+ Q6   4 0.1
951208  0+ 1o 1- 0+  0o 0o 0+ 1o    4- Q1   2 0.0
951209  2+ 4o 2- 2o  2+ 1o 1o 1+   16-      9 0.5
951210  2+ 3- 2- 1-  0+ 0+ 0+ 0+    9-      5 0.2
951211  2- 2- 0+ 1o  1- 1- 1o 0+    7+ Q7   4 0.1
951212  0+ 1- 1- 0+  1+ 2o 3o 2-   10o      5 0.2
951213  1+ 1- 0o 0+  0o 0o 1- 0+    3+ Q2   2 0.0
951214  2o 2+ 1o 1-  1+ 1o 1+ 0+   10o      5 0.2
951215  1o 1o 2- 2-  4- 4o 3+ 3-   19o     12 0.7
951216  4o 5+ 4+ 3-  3+ 1+ 1+ 1o   23+ D3  20 1.0
951217  1- 1o 3- 3-  2o 3+ 3- 2o   17o      9 0.5
951218  1+ 1- 0+ 1o  1o 1o 0+ 0+    6o Q4   3 0.1
951219  3- 1+ 2- 1-  1+ 2+ 1o 1-   12-      6 0.3
951220  0+ 1o 0+ 1o  3- 2- 0+ 0o    7+ Q9   4 0.1
951221  0+ 0+ 1- 1-  1+ 3- 3- 3+   12o      7 0.4
951222  3+ 3- 3- 2o  3o 3+ 5o 4o   26o D2  20 1.0
951223  4- 3- 1- 2+  1+ 1- 2o 0+   14-      8 0.4
951224  2o 2+ 5o 5-  5o 4o 2+ 3+   29- D1  26 1.2
951225  3- 3o 2+ 3-  3o 3+ 3o 3-   23-     14 0.8
951226  3- 4o 3+ 2+  3o 2+ 3+ 2+   23+     15 0.8
951227  3- 2o 2- 1+  2o 2- 2o 2o   15+      7 0.4
951228  1- 1o 1+ 1-  0+ 2o 1- 1o    8- Q8   4 0.1
951229  1- 1- 1o 0+  0+ 1o 1+ 2-    7o Q5   4 0.1
951230  1+ 1- 0+ 1-  1- 1o 1- 1-    6o Q3   3 0.1
951231  1o 2- 3+ 1+  2+ 2o 2o 1o   15-      8 0.4
9512                                  Mean  9 0.41
