970301  3o 2+ 2+ 2o  3o 4o 3+ 2-   22- D4* 13 0.8
970302  1o 4- 3+ 3+  2o 3+ 1o 1+   19o     12 0.7
970303  1- 0+ 1+ 2o  2- 3+ 2+ 2+   14o      7 0.4
970304  2o 0+ 1- 1o  1o 1- 1- 1-    7o Q6   4 0.1
970305  0+ 0+ 1- 1-  2+ 3o 4- 3o   14o      9 0.5
970306  3+ 3o 3- 2-  2o 2o 0+ 0o   15o      8 0.5
970307  0o 1- 2o 2+  3o 2+ 1+ 2+   14o      7 0.4
970308  2- 2- 1- 1-  2+ 2+ 0+ 1o   11-      5 0.2
970309  1- 0o 0o 0o  0o 1- 0o 0+    2- Q1   1 0.0
970310  0o 0o 0o 1-  1- 1- 1- 1+    4o Q2   2 0.0
970311  2+ 1o 0+ 1-  1o 0+ 0o 1-    6+ Q7   3 0.1
970312  2o 3+ 3+ 3o  3+ 2+ 3- 2-   22- D5* 13 0.7
970313  3- 2o 2+ 1o  1o 2+ 2+ 2-   15+      8 0.4
970314  2o 2- 2- 2-  1- 1- 1o 2o   11+ Q0   5 0.2
970315  3+ 1o 2o 2-  1o 1o 1+ 1+   13-      7 0.3
970316  2- 3- 3- 2-  1+ 2- 1+ 1o   14o      7 0.4
970317  1+ 1+ 1+ 1-  1o 1+ 2+ 2+   12-      6 0.3
970318  2+ 3- 1+ 1o  1o 1o 1o 1+   12-      6 0.3
970319  1- 1o 1- 1-  2- 0+ 0o 0o    5o Q4   3 0.0
970320  0+ 1+ 1- 0+  0+ 0+ 1+ 0+    5o Q3   3 0.1
970321  0o 0o 1+ 2o  1+ 1o 1- 1+    8- Q8   4 0.1
970322  3o 4- 2o 3-  2+ 2- 1- 0+   16+     10 0.5
970323  0o 0+ 0+ 1o  2- 1+ 1o 0o    6- Q5   3 0.1
970324  1- 1+ 1- 3-  2- 1o 3o 4-   15-      9 0.5
970325  3o 2+ 2o 2o  3o 3- 3- 4-   21+     12 0.7
970326  3- 3+ 3- 3o  3+ 3+ 4- 4-   26- D3* 17 0.9
970327  3+ 1- 0+ 1-  1- 1+ 2+ 1o   10+      6 0.3
970328  1o 1o 1- 2-  2+ 5o 6- 4o   21+ D2  21 1.1
970329  3+ 4o 2o 4-  3o 3o 3o 5-   27- D1  20 1.0
970330  2+ 4- 2+ 2+  2+ 2o 2+ 1+   19-     10 0.6
970331  1o 2- 0+ 1-  1+ 2- 2+ 2-   11- Q9   5 0.2
9703                                  Mean  8 0.40

9703 Q  9  10  20  19  23   4  11  21  31  14 
9703 D 29  28  26*  1* 12*
