980901  3o 4o 2o 3-  3+ 4o 4o 3o   26o D4* 18 1.0
980902  2o 1- 1- 3-  3- 3- 2+ 3-   16+      9 0.5
980903  3+ 2o 1- 1-  2- 3o 1- 2-   14-      8 0.4
980904  2- 2- 2- 1o  1- 1- 1+ 2-   10+ Q4   5 0.2
980905  1- 0o 1- 2-  0+ 2- 2- 3-    9+ Q6   5 0.2
980906  2+ 2+ 1- 1+  2- 1- 0+ 1+   11- Q8   5 0.2
980907  1o 1- 1- 1o  1o 2- 3o 2-   11- Q0K  6 0.3
980908  4- 4- 1o 1o  1- 2o 2o 1+   15+      9 0.5
980909  3+ 3- 1- 2o  1+ 1+ 2o 1o   14+      8 0.4
980910  3- 3- 1o 1-  1- 1- 1+ 1o   11- Q9K  6 0.3
980911  1o 0o 1+ 0+  1+ 2- 2o 3o   11-      6 0.2
980912  2+ 2o 3- 3-  3o 3+ 3- 2+   21o     12 0.7
980913  3- 2o 1+ 2-  1+ 1+ 1- 0+   11+      6 0.3
980914  1o 0+ 1o 1-  0+ 0+ 1o 2o    7- Q1   4 0.1
980915  1o 2+ 2o 2-  1- 1o 2- 0+   11- Q7   5 0.2
980916  1- 0o 1+ 1o  2- 1- 1o 2-    8o Q2   4 0.1
980917  3- 3o 1- 0+  0+ 1- 1+ 2+   11+      6 0.3
980918  2+ 2o 1+ 4-  5+ 4+ 5o 4-   28- D3  25 1.2
980919  3- 2- 1+ 2o  2+ 1o 2+ 2+   16-      8 0.4
980920  3- 1- 1o 1o  1o 1- 0+ 1+    9- Q5   5 0.2
980921  3o 4- 4- 3-  3o 1o 0+ 0o   17+     12 0.7
980922  0o 2- 3- 1+  1+ 1o 3+ 1+   13-      7 0.3
980923  3o 3o 3- 2+  2+ 1+ 3- 3-   20o     11 0.6
980924  3+ 5- 4o 4-  1+ 3- 3+ 6o   29o D2  28 1.2
980925  8- 8o 8+ 7o  6+ 6- 3- 2+   48o D1 117 1.9
980926  2o 2- 1+ 3-  4o 4+ 4+ 3+   24- D5* 17 0.9
980927  3+ 2+ 2o 3o  3o 2o 2- 1+   19-     10 0.6
980928  1o 1+ 2- 1o  0+ 1- 2o 1+    9+ Q3   4 0.2
980929  1- 2+ 2o 2-  1+ 1+ 3o 2-   14o      7 0.4
980930  2- 2+ 1- 1+  1+ 2- 3- 4o   16-      9 0.5
9809                                  Mean 13 0.50

9809 Q 14  16  28   4  20   5  15   6  10K  7K
9809 D 25  24  18   1* 26*
